# id:9-18--9-0
-0.31,0.43,-1
0.25,-0.07,1
-0.81,0.62,1
-0.27,0.15,1
-0.43,0.58,-1
-0.14,0.78,-1
-0.01,0.92,-1
-0.87,-0.55,1
-0.17,-0.65,1
0.35,-0.71,1
0.16,-0.93,1
0.35,0.81,-1
-0.8,0.24,1
-0.88,0.8,1
-0.29,0.27,-1
0,0.03,1
0.38,-0.22,1
0.5,-0.31,1
0.46,-0.17,1
0.99,0.64,1
0.23,0.38,-1
-0.26,0.26,-1
0.56,0.62,1
-0.96,0.77,1
-0.73,0.9,1
-0.08,0.15,-1
-0.64,-0.9,1
0.57,0.22,1
0.02,-0.28,1
0.29,-0.1,1
-0.71,0.76,1
-0.01,-0.45,1
-0.29,-0.55,1
0.82,-0.01,1
0.3,0.14,1
0.26,0.49,-1
0.34,-0.3,1
0.22,0.35,-1
-0.08,0.6,-1
0.76,-0.04,1
-0.91,0.04,1
0.47,-0.31,1
-0.47,0.86,-1
-0.38,-0.55,1
-0.27,-0.21,1
0.38,0.6,-1
0.7,-0.16,1
0.82,0.23,1
0.89,0.48,1
-0.87,-0.19,1
-0.52,-0.8,1
0.16,0.55,-1
-0.48,0.92,-1
0.77,0.36,1
0.26,0,1
0.76,-0.57,1
0.15,-0.1,1
0.71,-0.27,1
0.65,-0.81,1
-0.61,0.04,1
0.32,0.32,-1
-0.54,-0.81,1
-0.62,0.48,1
0.38,0.86,-1
0.04,-0.36,1
-0.89,-0.32,1
-0.6,-0.87,1
-0.38,-0.84,1
0.4,-0.91,1
0.61,-0.49,1
-0.32,-0.23,1
-0.52,-0.25,1
0.95,0.04,1
-0.6,0.09,1
0.88,0.66,1
0.31,0.01,1
0.85,0.22,1
-0.02,0.42,-1
-0.52,0.72,-1
-0.03,-0.42,1
0.55,0.36,1
-0.96,0.2,1
0.48,-0.82,1
-0.37,1,-1
0.77,0.77,1
0.71,0.8,1
-0.22,-0.79,1
0.51,0.96,-1
-0.92,0.32,1
0.85,0.09,1
-0.09,0.66,-1
-0.87,-0.3,1
-0.24,0.35,-1
0.61,0.73,-1
0.71,0.28,1
-0.51,-0.68,1
0.13,0.27,-1
-0.64,-0.28,1
0.91,-0.77,1
0.31,-0.48,1
-0.97,0.47,1
0,-0.76,1
0.59,0.4,1
-0.35,-0.64,1
0.05,0.9,-1
0.38,1,-1
0.46,-0.11,1
0.18,-0.56,1
-0.41,0.59,-1
0.11,-0.88,1
-0.17,-0.8,1
-0.93,-0.14,1
-0.32,-0.15,1
-0.75,0.67,1
-0.35,-0.14,1
0.58,-0.05,1
-1,-0.97,1
0.9,0,1
-0.1,0.97,-1
-0.66,-0.85,1
0.72,0.02,1
-0.05,-0.24,1
-0.92,-0.99,1
-0.34,-0.79,1
0.2,0.34,-1
-0.01,0.61,-1
0.71,0.45,1
0.82,-0.87,1
-0.27,-0.85,1
-0.97,-0.94,1
-0.92,-0.32,1
0.28,-0.96,1
0.46,0.73,-1
-0.21,0.7,-1
-0.9,-0.91,1
-0.5,0.8,-1
0.64,-0.07,1
0.58,0.43,1
0.89,0.71,1
-0.49,-0.6,1
0.01,0.39,-1
0.81,-0.65,1
0.87,-0.37,1
-0.67,0.65,1
0.93,0.04,1
0.72,-0.49,1
0.16,-0.45,1
-0.19,0.67,-1
